ctrl	ctrl	ctrl	bcl6	bcl6	bcl6
100128893_1	3.3194157827438	-0.00653301720049964	5.23181116609527	-1.06561337843771	4.05977727778976	4.21919800959689
100129128_1	0.413452200336456	-0.0505390699685257	0.242891306072931	-0.126184095313721	0.483618136186857	0.671699290474947
100129250_1	11.4766194882656	11.2930457695857	11.4354171005578	11.0451397390101	11.1962776715685	11.306120904068
100129361_1	11.1867416275589	10.9643986632473	10.9782138344	11.2241356057345	11.3222030201419	11.3190481052089
100129500_1	4.51098666554253	0.139660906661509	4.26540884829723	2.91463892569179	4.49649911447347	1.37962730653514
100129792_1	11.6151259016186	11.6312841163523	11.5275590730646	11.1825634524251	11.4761773920775	11.3211864501469
100130458_1	9.34364476927892	9.41399511702426	9.28302638571647	9.27692865952381	9.33573135506804	9.34127696905523
100130633_1	8.99807399606164	8.87275766849848	9.03567557813219	8.85416538858904	8.77710413744951	8.87919104793665
100130733_1	6.39800655259409	5.92778967027691	5.44676585876536	6.21963706597962	5.84545303138958	6.91949535530692
100130958_1	7.27157313180516	2.45109403338801	6.87092997987259	2.21348502462065	5.63454971922169	5.77689364872169
100130967_1	8.44985238852226	8.291995658503	8.29075234585274	8.45406107991074	8.61584509477522	8.11193797008349
10013_1	9.62349773063007	9.60163384663799	9.96170704929176	9.71764785378731	9.49980768385042	9.40241347414669
100131082_1	4.87595860449855	5.52342156413229	5.80716651473525	4.94164738201199	5.55305176168836	5.57764565145237
100131138_1	1.33965990339726	3.68933752251549	2.0205685178953	1.83998076807513	2.59436541138281	6.09461351661215
100131187_1	12.218938133382	12.1076939913764	12.346801667859	12.0461726612932	12.2980537436002	12.1301983926336
100131354_1	6.72122243908631	6.75869574375193	6.68884824241619	6.82149341614368	7.07628054871721	7.03514521920106
100131455_1	7.40886866920162	7.20894464355693	6.90663714885613	7.00795544384972	7.15565153133318	6.45106455874566
100131512_1	4.57084516188928	4.46491076041284	4.95866953514437	2.59307162222037	3.89443581764504	4.98529798939106
100131683_1	5.29256729891296	7.25154191285027	4.76118903874539	6.48611076668081	6.47357867349056	6.12257505923488
100131733_1	8.12891927159738	8.31213210616064	8.20630384131514	8.07517594542305	8.26435848365178	8.18590804221652
100131801_1	10.1688427286038	10.286691162058	10.2272965722128	10.1999606560432	10.1739115140003	9.98042966819975
100132013_1	8.92404413492871	9.15487424366812	8.94992124038107	8.78525385452832	8.94898641613935	8.8369007046154
100132429_1	7.12469612747064	6.94806160915432	5.74970476021146	7.03848565930743	7.24187524435212	6.56647456147159
100132733_1	7.66247383739271	8.37231364901399	8.4647613974793	7.35923387801321	7.71796682555375	8.09204125892748
100132767_1	5.48126828677457	5.63080837620604	5.69382010310847	5.37526056798816	5.45752656090864	5.41288346530366
100132884_1	9.45867455661646	9.46980156689946	9.52086638012213	9.5766235534739	9.37437881816415	9.3858372109208
100133109_1	8.78011105808081	8.89746694256754	8.77346229648042	8.80537570513946	8.82151384263232	8.74861874214303
100133171_1	-0.234121001780672	-1.70202833006639	-0.591414021802875	3.43788226510552	-0.215160848883284	1.30564349939429
100133862_1	11.8896051698331	11.9476426672319	11.8929437168015	11.975014240975	11.8735459861691	11.8449136995023
100133941_1	12.9241265685117	12.9249714635098	12.8767944143832	12.9832613542118	12.9942364303449	13.103782614847
