myb	myb	myb	ctrl	ctrl	ctrl
10049_2	12.1192681915386	12.3443616316262	12.0286379618538	11.7201047924482	11.8832169752875	11.9295996061482
10051_1	9.61920499450699	9.22158446410318	9.09299274169586	9.41909254006161	9.58645101861998	9.35515296237814
10052_1	8.20435302093154	7.17031345637019	7.16101747458656	6.84114498794802	6.2188620161828	7.77893523598835
10054_1	12.4364290702398	12.3591883839029	12.476743210025	12.2353179303685	12.0097676412791	12.4211302174596
10057_1	9.79833394847288	9.55918549432714	9.63325916353855	9.34589147767901	9.35763641044233	8.8992803568333
10057_2	7.98367828829577	5.46986741782334	6.28906217043841	5.59568893914786	4.83487411710411	4.26494965961665
10058_1	4.52415852299049	3.49000635468371	4.32821071280555	5.77904667617496	4.07857440268623	3.38422080573469
10059_1	8.99051305034176	8.99165213395788	9.05788382828508	8.44985884778445	8.73225662308829	8.76567508984588
10062_1	6.30246014089709	7.06817537564342	6.41078086998192	7.41532118142172	6.34590251440529	7.15602144441367
10063_1	9.55539849486678	9.51779004423354	9.56992670866859	10.5805701807577	10.4707414368232	10.4276106167468
10067_1	10.829567558315	10.732961010124	11.0876928676832	10.6117212999216	10.634229209526	10.677919849037
10073_1	9.1239442240315	9.03423436863113	9.30733467985724	9.43844346703896	9.14450076398683	9.46898462542062
10075_1	8.57213648703195	8.72338393896049	8.76837537298927	8.49397285679467	8.29378207476281	8.40437509635261
10075_2	10.1028135704137	10.1811484834189	10.4741788663084	9.75294287661392	9.71214762381758	9.6376659371403
10076_1	8.06403271372827	7.55990328459084	7.10131665507533	7.16967345735233	6.85131780354977	7.71363832667054
10079_1	3.85297743820902	6.25277975209083	3.52460456315331	5.63082663019384	3.97001012077936	5.62661856147159
10084_1	10.4995834683377	10.3592165934295	10.429289285383	10.2848176042757	10.3155472772826	10.2276391522084
1009_1	2.45344937796063	2.15708709290181	4.7281312970088	4.08556543067123	2.92785442466702	2.51962375457646
10090_1	6.45225561482571	2.95305042608473	2.1583790767218	5.92090206900816	5.13969328935832	5.48001841311383
10092_1	10.8173813062247	10.7245221428598	10.7557328466446	10.9786941393942	11.1573248226147	11.1481148851901
10093_1	9.92559829640534	9.76594923901864	9.90404488129677	10.1757756102781	10.0014572656	10.08010158248
10093_2	9.80590486490133	9.46325954109509	9.93822707966337	9.32629896180838	9.64176080541255	9.50790663929675
10094_1	10.6430075766776	10.6981401391129	10.2828410081769	9.93063729848959	10.0348502416417	10.0836263356916
10096_1	10.5018046234412	10.7912837754445	10.0291055754328	10.5372975609906	10.2353869542474	10.3801709669288
10097_1	11.547299983419	11.2522932678686	11.5555800249836	11.4099190636475	10.9079628173863	11.3893536527674
10098_1	4.04093253249877	4.61237627897172	2.67577190687479	3.71903281708013	6.0624208477573	3.67063486516806
10099_1	10.0797187728913	9.87908518231886	9.8964027330859	9.65467699252291	9.72693822713563	9.44122618247465
101_1	6.44535435499914	7.18757777863775	7.06248190571851	7.21010345709057	6.6848072279597	6.40236599324306
10102_1	10.8606266257713	10.6610706280282	10.8056845592523	10.5415840406704	10.7484194210882	10.4763191825103
10105_1	10.8858400259245	10.8278337111966	10.7305174164939	10.4949346854788	10.7794894976287	10.3867545989683
10106_1	10.1333042391703	10.276241126207	10.4900000606905	10.532371829462	10.7310986894853	10.6739867153639
10109_1	13.1110200360382	13.1058654726809	13.3844905279562	13.4431888170218	12.9804642845463	13.372000495321
10111_1	7.8972035833613	7.75325158109702	8.08333383633047	8.08366812987585	8.49250230945488	8.33483182715011
1012_1	1.93115651902272	2.08469853002353	4.61212155556468	2.76735642046325	4.83510093745024	4.25660748730597
10121_1	9.67119097522452	9.40814737056244	9.63716051911159	9.34494717122994	9.49320720093201	9.35586962747932
10123_1	7.55566177178185	4.87911219968905	6.80729164045652	8.08890845917375	7.64235325273365	7.47591240905164
10124_1	7.73424657760503	7.47067479016384	7.50282951899398	7.97034682493002	8.04437355713696	7.86403646236927
10125_1	7.0955582966803	7.62285617877831	6.61579112963388	7.64590071924826	6.60480696018841	7.35893276628143
10127_1	9.29314549056157	9.21856477556846	9.21696357564185	8.84961863626095	9.1060698321294	8.98803807851134
10128_1	10.9648945336214	10.8537106635974	10.7931919819277	10.6584864144506	10.3433915801725	10.562983679307
10129_1	6.42727427467759	5.93448153854487	6.10459272794481	5.7587127928075	6.93878216619923	6.42970370088833
10130_1	11.8434470752211	11.9273279672271	11.9112923118611	12.2216149230646	11.7741417012242	12.0242467091786
10131_1	12.8641365270429	12.9187545287247	12.932757032008	12.2983889916588	12.309987262216	12.3238255506305
10133_1	6.95516497090475	7.1942500989529	6.85400718100914	7.64836502352829	7.50479371358406	7.67999246212305
