ctrl	ctrl	ctrl	ctrl	ctrl	mef2b	mef2b	mef2b	mef2b	mef2b
100292444_1	4.03424231896382	5.91952523262724	3.79459016713692	6.19390696170312	6.31864867071174	6.21881955440306	7.47772474867639	7.04886682037742	7.03306408965812	6.92563182410212
100293440_1	7.8742051401692	6.64211200413198	6.56949168111853	7.04526542438838	7.00147140926713	5.5117669659366	5.22372924360916	4.1160184467768	2.87524316158464	5.97988609144979
100293983_1	10.3468569303068	10.3965001371182	10.054413227538	10.8717868713551	10.5781547850816	10.7896350275758	9.63636852376048	10.3560491506318	10.0869275001442	9.48909716773108
100294459_1	5.49193183423647	6.79192616846754	7.09566895737532	7.30616968021701	6.27722284007306	7.97167457910273	7.88862420343047	8.09788452033099	7.72768814679952	8.30956117355156
1003_1	4.84010564212066	3.80501396074758	5.8172617854421	4.24403004932097	4.93171110234027	2.7163910581603	3.93633538261601	2.46243212535477	6.26752315300505	4.47603078832689
10036_1	10.2218474500227	10.1360943405943	10.5833957372397	10.0395907044681	10.243746470827	9.65728038041797	9.75966816311137	10.0708459659254	9.89480662295205	9.83829328330666
10038_1	8.95728505935131	8.80901839149823	9.0216411726334	9.43221710533105	8.88624129486205	9.11999575344172	8.83246000877126	8.88015869555898	9.07926023312119	9.02215738609298
10039_1	7.83842436058716	8.3802413019992	7.88520248804795	7.61800337678289	8.05681257740067	8.39383581825473	8.55046291769699	7.89532394233203	8.54333702215258	8.62090851936702
10040_1	6.01560684725847	3.97495848944033	7.31277280563651	6.97517963619803	4.92461288034962	6.1516221192356	6.71350123478818	6.49409649462024	4.56206510130295	4.0754354948381
10042_1	9.82606565205643	9.87344134943385	9.51662071491406	9.83167134410499	9.90686816450337	10.0747067894138	9.67647782820803	9.50836396103196	10.0393696858256	9.55435076735059
10043_1	7.21879493581685	7.28967375244229	7.50200674883952	7.13080401014206	8.14682554552114	7.10094827252292	7.53962478011201	7.32893003639038	7.75408985344667	7.32350516985214
10048_1	7.2791049251419	7.41559236165556	7.24953558608592	8.12763596889302	7.71644481534873	6.69892358303614	6.20636121897474	6.99964083665849	6.55463429356748	7.41129465254188
