ctrl	ctrl	ctrl	bcl6	bcl6	bcl6
100129792_1	10.3437914490028	10.376875711498	10.3625948225486	10.575632357663	10.7169591050672	10.5068350080756
100130458_1	8.23548701392915	8.05087324848268	8.27408185938982	8.23555879516698	7.88910937338697	8.11326154435107
100130633_1	9.72501654497338	9.69649470877991	9.75985465779146	9.54868011543218	9.57614432026538	9.36771568160772
100130733_1	3.77055950626324	-0.40517044849696	-0.649882410640796	5.14259691438182	5.1381994104532	-0.668276306322418
100130958_1	6.05921180997797	7.06415847153186	2.51977592126008	6.6697769902701	1.42382080794663	6.59392316171517
100130967_1	13.2327261483236	13.2053475327212	13.2363872836812	12.4315948409439	12.4756151811093	12.3724059029123
10013_1	8.86486350823878	8.73151397603842	8.87495819659273	8.70843168349693	8.49710882125672	8.88744048830691
100131082_1	6.23132939531827	5.58697967782894	5.78120261096843	5.89485401466655	5.79731699421321	5.81980927207903
100131138_1	2.93598161116797	1.85795056173757	5.50582936118655	4.7948314736288	5.25669314590114	-0.0608257343899457
100131187_1	12.1435031941397	12.0326895220686	12.1863314853887	11.8528749518367	11.9516390666826	11.9727110713291
100131354_1	5.89936134828306	3.17166670377402	5.91355318331853	5.45190466106632	3.64559469675907	6.12072232802078
100131455_1	6.84106752616081	5.62575875637457	6.4543640179513	6.18404672456899	6.50246596417465	6.40017141790123
100131512_1	6.94164503204829	6.99788762132988	6.95530011537481	6.79688938742801	6.52862515188656	6.70074261401074
100131683_1	5.40599410638163	5.67797061505801	1.73513440592634	6.99233897630331	6.81599460115838	5.21219317497999
100131733_1	8.16697563409452	7.97014601742699	7.95496418697207	7.77849713962624	7.93916589135652	8.08512474799338
100131801_1	10.14628823473	10.1178411357843	10.1135499281138	9.88594246681656	10.0327716220629	10.1283364318699
100132013_1	5.99738962729728	6.72058962462609	6.46783894244337	6.77216093740707	6.32939996971299	6.25648492933579
100132429_1	6.38031626550369	6.72046847315786	6.24961084932411	7.20944003751273	6.60262032061463	7.43257523630426
100132733_1	6.74306121167556	6.38924027254102	6.04854996959618	7.19233557928595	6.7755436354727	6.70042608096737
100132767_1	8.18319658005832	7.96518213661167	8.49514288814571	8.11739305711262	8.38033207318408	8.81380726019197
100132884_1	9.08893975885943	9.23901319629902	9.14389570684667	9.06523461277803	8.95212160569661	9.18988533412007
100133109_1	8.18621415704473	8.42713991223521	8.37379771739982	8.34885692429473	8.28557154731691	8.4375032667071
100133171_1	-1.08817461758265	-3.79003680219833	-0.459534670389577	3.89588696118692	4.00112855900704	3.34850155444136
100133862_1	10.894302586615	10.9558707727104	10.7711233104207	11.0274645708237	10.9984200441517	11.0635519451225
100133941_1	7.23893955920374	7.36284907319445	7.10792644175962	6.8148755231126	6.95537738003932	6.69418405215531
100134108_1	11.594383292786	11.5406485385003	11.4298435357351	11.8399704884904	11.9753850864819	11.6931721393562
100134934_1	8.16797477412937	7.85738804723134	8.28198520264537	8.18604729936464	8.46396744017595	8.36851730204297
100137047_1	7.2822337321055	7.50398873997307	7.55324122547853	7.18569555135877	6.93718688164351	6.43920340160032
100137049_1	7.27469244423097	7.03271833705385	7.16186074471271	6.93385813687588	7.42713941575896	7.49602431168597
100137049_2	7.63278824472399	7.31027550857471	7.24534680957267	7.49590119917652	7.79281842431532	7.92631128752165
10014_1	7.60184217172538	7.7397809647846	7.94480367905377	7.8646994768049	7.8846368716779	7.41061502858451
100141515_1	1.62973279030589	1.41853372787182	1.47265663090287	1.81313115290339	2.30338956464613	1.96580680241365
10015_1	8.27173136765099	8.26493134726415	8.31922039525085	7.63864103679597	7.92420391306808	7.95963498840926
10015_2	11.5991557263974	11.5200081255222	11.4543233624081	11.5633533035866	11.5460473128713	11.5967807792468
10016_1	11.9895151387631	11.9675591566328	11.9192997252407	11.8703978568911	11.8004421989799	12.0152659946408
100170841_1	8.70628725265999	8.5177907172533	8.02545816237871	8.63413919417842	8.04125718030336	8.40047797985559
10017_1	3.55541879502323	3.86147072191187	3.93648633283405	3.74967216194747	3.13082822022517	-0.913079182585573
10018_1	11.3234720879327	11.3370679731824	11.345859315725	11.1421547789933	11.2343315994027	11.1175606804123
10018_2	10.8023351073704	10.6939362568344	10.7130255659086	10.7338358080945	10.5982873576265	10.6724143728538
100188893_1	13.0863212224019	13.1079448681348	13.1812404186289	13.1678486293645	13.1215862656648	13.2138782258141
10019_1	9.13936610436763	9.08206077459922	9.14915882676659	8.21873617557064	8.60262807261271	8.59224084535334
10020_1	9.34765384521655	9.41228520935315	9.52238111018351	9.47305869203486	9.45810880715184	9.47229812720229
10023_1	7.43441480846116	7.82296999912439	7.51192440308342	7.01304078661104	7.31711620205143	6.85793401952037
10024_1	9.16796821328821	9.19555741061037	9.37164049624102	9.38164692962579	9.20987979085406	9.69013147921236
10025_1	8.85415256575321	8.69006236339505	8.69625846043904	8.76155683138829	8.88670698021591	9.19969309729848
10026_1	9.62617057507009	9.73046374903526	9.5463675655057	9.85464760960547	9.63563851909086	9.56223825842912
100271849_1	11.0158329677201	10.6969388782529	11.0063467920576	10.2604523355226	10.727736552549	10.7700859871045
100272147_1	9.31695023914128	9.3875697666019	9.38531889397552	9.32235180140707	9.3800276191125	9.43014895600168
100287081_1	8.89913953622862	8.65363557099285	8.82429575530531	8.30844017191388	8.57259249799162	8.3871370465195
100287171_1	9.41073481965078	9.1415400057836	9.45161889916197	9.19632397045119	9.34139693669202	9.52853576136135
100287428_1	7.10662635016555	7.01409931803893	6.54153777981309	7.02844646603439	4.60914703523822	6.84656960517137
100287552_1	8.72052658843912	8.73595079665684	8.69562415123424	8.75102395818962	8.81521819893598	8.79306682750292
100287932_1	11.3767122539387	11.3432055634174	11.3626887726932	11.2161123713073	11.1558507530391	11.3987871199041
100288109_1	6.35832432081513	6.06687362342956	5.92813809123985	5.97178525146467	5.07446725425717	6.62117686714976
100288315_1	8.34840525624602	7.927608375897	8.0790822451293	7.76638749931429	8.12547882973073	6.84850817783876
100288418_1	14.5314610075213	14.606034484715	14.6754594357016	14.7915793573741	14.7083541285316	14.7392569326208
100288583_1	7.21222961362771	7.38004567511013	6.95566347039071	7.11716882305234	7.94578060997214	7.2250470741751
100288745_1	2.98558845619037	4.00004659586985	3.91775266095738	2.79228140010706	4.07147380307905	5.76940241676291
100289635_1	8.59032589811031	8.63036226853614	8.58062269230838	7.93819149626447	8.22052788228735	8.27739286880163
100289760_1	13.8902574125141	13.760281255834	13.9145621807186	13.6442646285702	13.6925056293196	13.7683176758258
100289830_1	12.0649745561968	11.9595647433412	12.0770906193957	11.8147499203307	11.7808021617974	12.0271164670709
100289949_1	6.43797026045394	6.17399663085138	6.05611019721846	6.05146891765843	6.84635318674653	6.15135328944684
100290006_1	4.22714048175773	3.03129532485215	2.24857363749772	4.62607599997501	6.19993052014294	7.30821501374564
100290027_1	7.97405224388824	7.67810103224684	8.22698022655668	8.22084516845475	8.11769090063153	8.14010188602344
100290062_1	9.55757343931326	9.18272939943465	9.67713661142634	9.82938796658418	9.09136853214603	9.29257116758943
100290481_1	13.1120886111698	12.9067747415906	13.127737032054	12.8082398172613	12.8145675701228	12.7573596452093
100290481_2	4.95763510105907	4.50951138595401	4.02984933979715	3.84899790378443	4.58392715175469	4.93178246860186
100290663_1	9.06905850423211	9.23855194622317	8.67325171185777	8.95007391311555	9.20007953051475	9.38044401375921
100292051_1	-0.0618114381875434	3.36681210551406	1.14855518669623	4.74930847196126	0.385958543811269	3.46839911215894
100292909_1	3.28681991022092	2.78806936097383	3.35177036036586	3.39959304779225	3.24272206020851	3.21565912875768
100292959_1	7.51398445860352	7.61449146848015	7.62206983427826	8.35234518974496	7.75095824164382	8.04690326955525
100293296_1	5.00981276457697	1.99445952339707	1.99783946811164	4.92464114618525	2.56253068952516	4.73950330325142
100293413_1	8.70901752200005	8.83970048737331	8.9417197670346	8.21262364351262	8.70247467232674	8.6827305676978
100293440_1	3.71222779283385	4.45306992367397	3.88899277333165	4.17227891035721	3.78726732266532	2.99144198868131
100293983_1	1.73190981523458	0.989168951639809	1.88644836224153	2.45720256949105	1.83877151792899	1.45686330307038
100294276_1	11.3514850649706	11.1424226618606	11.2835657493451	10.6832661279266	10.6778233187448	10.7009311080966
100294318_1	10.648194467579	10.3696409066979	10.2594475656724	10.1823026069061	10.4678577868694	9.93786188634193
100294423_1	6.41713720575765	6.82519615976138	6.82439948335733	5.80812451846403	4.71753374834466	6.20386023685233
100294459_1	12.2679302871943	12.1816887302598	12.3021466830838	12.6227338984556	12.7447710874386	12.6774581435208
100303755_1	10.6274438459021	10.7479783061348	10.5577393080324	10.9145767454236	11.0737776033411	10.8573056540671
1003_1	-0.998164744914759	2.67140530750308	1.47720342492099	4.10355404917993	1.56182084305582	2.2104875953574
10036_1	9.24409576290522	9.29210822219387	9.51677260962435	9.39080337479832	9.53965836203948	9.62117781023807
10038_1	10.2899187764455	10.2592416405059	10.2415856160816	10.5532095143019	10.3516143940986	10.636789895896
10039_1	8.3771599475323	8.2399149972594	8.41095226084489	7.75429561420709	7.73465972001067	7.70797144554716
10040_1	6.47531174494839	6.97012871531823	7.11794243846231	6.86525687366562	6.66865083314628	6.76058230196302
10042_1	10.6406600824637	10.656556322522	10.6089285543253	10.8616104947186	10.9451666719619	10.7534634386078
10043_1	6.35398334529591	6.52247549034688	6.71319545268063	6.93720810894394	7.11477316100921	7.15123911478466
10044_1	8.66914634800317	8.43832976754454	8.82255667563503	8.05827675325252	8.29948880165537	8.1267110650551
10045_1	8.03535427074209	7.62182156412633	7.67365866199911	7.58141079305462	7.76145020174136	7.82327484243175
10048_1	9.44392441569839	9.51369155488916	9.47060097074687	9.55041453736913	9.64244097589561	9.51388587720907
10049_1	10.9805254775532	11.0404031453458	10.9961700752999	10.7214722593709	10.7574613020712	10.5228072810028
10049_2	10.5880746385892	10.5151071360522	10.4982774138799	10.1866685060332	10.069792586684	10.1028343359737
10051_1	11.5711035290759	11.6903622890914	11.5834354596705	11.768985952504	11.7291765802012	11.7016036323462
10052_1	9.69048937621901	9.75600532804394	9.71464695286124	10.2453561214909	10.1304294961269	10.1096587257321
10053_1	7.7238138536239	7.25356289898185	7.44265727141662	7.49296445628075	7.04021056962985	7.51982074217827
10054_1	12.1131948778224	12.4226996382275	12.2818830117287	12.4945558747948	12.4313298303622	11.9463451660003
10055_1	11.4538595408244	11.4965501868419	11.5014786581125	11.5383105769291	11.5552389120244	11.6059209154527
10056_1	10.7982740422346	10.8427943197491	10.6997726014697	11.1553206513268	11.0871849675892	11.1094131350258
10057_1	8.53210995514873	8.3964566117805	8.30533644489938	8.12794686849318	8.13293251441555	8.27987701517623
10058_1	8.01921744236797	8.15336658146522	8.04081686746026	8.60184081105144	8.75125017021138	9.14887214036743
10059_1	11.0554298297754	11.0879029443155	11.0710233876989	11.1622291924273	11.1344526501699	11.1142543881706
10061_1	9.67413156216098	9.77665199460862	9.69764662052935	9.76196050134674	9.6540452316051	9.83297042935562
10062_1	7.6360985114082	7.36500159394983	7.67524002082996	7.43815142188052	7.61597997282861	7.6007566860732
10063_1	11.2377743903633	11.1652954383776	11.2905371506747	11.3464129258556	11.4856589995577	11.5247537361106
10066_1	10.4017480522695	10.4613028507267	10.456183808989	10.6224199973768	10.627010423451	10.7169355836521
10067_1	10.5923590769736	10.3307008573836	10.3712632126317	10.4840873071817	10.4314019456196	10.6499087297052
10068_1	4.37308534934463	3.02577163467309	3.43433032025517	4.18395516418015	5.3211021634694	5.45130609899113
10069_1	8.46830422077043	8.99593364852658	8.83855358604821	8.15649130328939	8.07547770698019	8.47381663398886
10072_1	9.74429861288815	9.82005491297949	9.88636037387941	9.67361169634004	9.47287079108763	9.76182754279479
10073_1	9.47803633643562	9.66371055059306	9.47741981569565	9.53171044648166	9.60593129828149	9.62254763559366
10075_1	10.0960553518591	10.1058041412326	9.9529282559947	10.16749548981	10.2109181827348	10.2326763631873
