foxm1	foxm1	foxm1	ctrl	ctrl	ctrl
100271849_1	8.23587356026856	7.39528137638298	7.14727429867609	7.89631190096007	8.26581904476482	8.12786616984478
100272147_1	9.2327647081059	9.24764392000214	9.40854268057996	9.36817014464606	9.23993067294712	9.11726329569415
100287552_1	10.4615396440117	10.2632975610025	9.79011395118846	9.75289713144195	9.76736519180676	9.92817445825608
100288583_1	9.55238534635244	10.3859370972619	10.2620430511538	9.77602437486766	9.66190400391314	9.76460542957195
100289760_1	6.24806018334375	5.61610212621616	4.1105849063663	4.63825884895184	6.61510235331424	5.65827985533091
100290481_1	12.795850378904	12.6847970594295	12.9205869850583	12.7634820948669	12.7816973704157	12.7914620578007
100290557_1	8.96813710591466	7.95893732443674	8.84759976859033	8.49030474620933	5.92700596526951	7.79114105394908
100292444_1	6.60650175529947	6.33052787825484	5.87554896470104	6.45963953204866	4.65842678732996	6.14549451078035
100293440_1	7.41059046536491	6.53400309561896	7.1365265662089	8.04575792915618	6.64785400704003	7.30137386719454
100293983_1	10.0022351905463	10.4337934791637	10.2274089711876	10.7121195213268	10.2780543420507	9.99172418468076
100294459_1	3.12085800348185	4.39629022344436	3.76275167429649	4.82343342452243	2.11161031687511	3.39808616379417
1003_1	2.25110114821605	4.23359426625063	2.94592346180539	5.94608618343176	5.09199710905078	2.83165473980363
10036_1	10.2561825344376	10.2939681183042	10.2121384846381	10.0289959799393	10.4046184341714	10.4021528190127
10038_1	9.78366669268943	9.55628136550042	9.68298396827264	9.71877066267378	9.64272837386175	9.52818537918391
10039_1	7.85148587726638	8.09700463896147	7.1142371297624	8.32429887568779	8.72528022377714	7.71226015123174
10040_1	5.66139879913446	5.43789620866697	5.98947029541701	7.69667777121389	5.12271682995362	7.07869635999947
10042_1	10.4521003345561	10.7078934358365	10.4858191546419	10.5042760567569	10.4316705243729	10.8572146455756
10043_1	7.43860590260157	8.07557704208938	7.87783819720202	7.68313664454529	8.31776346582173	8.34872525648088
10048_1	7.63006578364058	7.40835734882968	7.83465833759088	7.22553558210618	7.45318994804048	7.88968255973534
10049_1	9.6291826648128	9.59142312869648	9.62554201157335	9.34728630276563	9.50056282183101	9.46020357958961
10049_2	12.0942970886591	12.4851506929151	12.4408801032494	11.7201047924482	11.8832169752875	11.9295996061482
10051_1	9.322941198702	9.72549398129081	9.19684570562286	9.41909254006161	9.58645101861998	9.35515296237814
10052_1	6.78077345210415	7.61243089450228	7.36420059896717	6.84114498794802	6.2188620161828	7.77893523598835
10054_1	12.4581289159831	12.3694057546643	12.4428461534537	12.2353179303685	12.0097676412791	12.4211302174596
10057_1	9.23430487192492	9.36202127769477	9.2441136491404	9.34589147767901	9.35763641044233	8.8992803568333
10057_2	5.25110044247739	5.69817066083525	5.17480726318614	5.59568893914786	4.83487411710411	4.26494965961665
10058_1	3.81678613046704	3.37560706925674	3.0066032729293	5.77904667617496	4.07857440268623	3.38422080573469
10059_1	8.45143833423118	8.02512479468276	8.20907989197955	8.44985884778445	8.73225662308829	8.76567508984588
10062_1	7.14374222129088	7.00139479136492	7.31790124800565	7.41532118142172	6.34590251440529	7.15602144441367
10063_1	9.96875389070057	9.17677202980409	10.0621327253049	10.5805701807577	10.4707414368232	10.4276106167468
10067_1	9.05175702727819	9.21513315821767	9.10026076229794	10.6117212999216	10.634229209526	10.677919849037
10073_1	9.65598843007613	9.69339323945441	9.90788726784656	9.43844346703896	9.14450076398683	9.46898462542062
10075_1	9.34050867370905	8.97058839222942	9.01595999924467	8.49397285679467	8.29378207476281	8.40437509635261
10075_2	10.1578904547113	10.0046938538265	10.2639200026383	9.75294287661392	9.71214762381758	9.6376659371403
10076_1	4.69695774393185	8.04739388564805	6.33932955328612	7.16967345735233	6.85131780354977	7.71363832667054
10079_1	3.72780354605599	1.29922325332792	5.20150527548799	5.63082663019384	3.97001012077936	5.62661856147159
10084_1	10.2265642487173	10.2146282312632	10.3539857918528	10.2848176042757	10.3155472772826	10.2276391522084
1009_1	6.0694336908637	3.90090103290981	2.02439923625004	4.08556543067123	2.92785442466702	2.51962375457646
10090_1	6.14134763845966	2.06627217173461	6.74924354938118	5.92090206900816	5.13969328935832	5.48001841311383
10092_1	10.8823425732233	11.023196232558	10.6761901675058	10.9786941393942	11.1573248226147	11.1481148851901
10093_1	10.1236613063624	10.4335679516412	10.2159633025628	10.1757756102781	10.0014572656	10.08010158248
10093_2	10.4454111472419	9.73758780977297	9.79828360048915	9.32629896180838	9.64176080541255	9.50790663929675
10094_1	11.1559167977446	10.8381207952991	11.1125888543037	9.93063729848959	10.0348502416417	10.0836263356916
10096_1	9.76069258139438	10.7904007567579	10.5371480323297	10.5372975609906	10.2353869542474	10.3801709669288
10097_1	11.2441694649577	11.3555569619689	11.4867975273976	11.4099190636475	10.9079628173863	11.3893536527674
10098_1	2.66785782240019	3.0463444920502	3.22509487323017	3.71903281708013	6.0624208477573	3.67063486516806
10099_1	9.58088740128171	9.84877039741533	9.61363020899856	9.65467699252291	9.72693822713563	9.44122618247465
101_1	6.37785816838964	7.05449416535904	7.73375828947301	7.21010345709057	6.6848072279597	6.40236599324306
10102_1	11.028651670151	10.5983108888229	10.8004919451499	10.5415840406704	10.7484194210882	10.4763191825103
10105_1	10.555313617374	10.9085136484635	11.0210330081672	10.4949346854788	10.7794894976287	10.3867545989683
10106_1	9.50764323346885	9.69166000777459	9.89104703095807	10.532371829462	10.7310986894853	10.6739867153639
10109_1	13.0739970607493	13.369877434989	13.6886437506666	13.4431888170218	12.9804642845463	13.372000495321
10111_1	8.70273344264162	8.49526938063802	8.11135006020906	8.08366812987585	8.49250230945488	8.33483182715011
1012_1	6.68420433564643	2.13786038231788	3.87490316949954	2.76735642046325	4.83510093745024	4.25660748730597
10121_1	9.5266283518183	9.71583087677565	8.80848239911155	9.34494717122994	9.49320720093201	9.35586962747932
10123_1	7.55020252372485	7.21940629015156	7.26868547384055	8.08890845917375	7.64235325273365	7.47591240905164
10124_1	8.08556459987188	7.83756222588311	7.63101555491238	7.97034682493002	8.04437355713696	7.86403646236927
10125_1	6.92988874493929	6.9221913350522	5.72474182145001	7.64590071924826	6.60480696018841	7.35893276628143
10127_1	9.2695300399862	8.82077221502015	9.06307810676805	8.84961863626095	9.1060698321294	8.98803807851134
10128_1	10.4597392420221	10.7971233860542	10.7879775045867	10.6584864144506	10.3433915801725	10.562983679307
10129_1	6.66518802750376	6.12206256319963	5.99084800070898	5.7587127928075	6.93878216619923	6.42970370088833
10130_1	11.2842305674651	11.6673230987998	11.697305829906	12.2216149230646	11.7741417012242	12.0242467091786
10131_1	12.3080635594915	12.3559452070114	12.57332678831	12.2983889916588	12.309987262216	12.3238255506305
